location_id,location_label,time,temperature_c,snowfall_cm,snow_depth_m,apparent_temperature_c,wind_speed_kmh
0,Berlin,2025-01-01T00:00,0.8,0,0,-4.4,19
0,Berlin,2025-01-01T01:00,2,0,0,-3.2,21.1
0,Berlin,2025-01-01T02:00,2.5,0,0,-2.8,21.8
0,Berlin,2025-01-01T03:00,3,0,0,-2.2,21.9
0,Berlin,2025-01-01T04:00,3.5,0,0,-1.7,22.3
0,Berlin,2025-01-01T05:00,3.9,0,0,-1.4,22.8
0,Berlin,2025-01-01T06:00,4.1,0,0,-1.3,22.8
0,Berlin,2025-01-01T07:00,4.2,0,0,-1.1,22.7
0,Berlin,2025-01-01T08:00,4.6,0,0,-0.7,22.8
0,Berlin,2025-01-01T09:00,4.9,0,0,-0.3,22.4
0,Berlin,2025-01-01T10:00,5.6,0,0,0.4,21.9
0,Berlin,2025-01-01T11:00,6,0,0,0.9,21.8
0,Berlin,2025-01-01T12:00,6.3,0,0,0.7,25.1
0,Berlin,2025-01-01T13:00,6.7,0,0,1.3,24.4
0,Berlin,2025-01-01T14:00,6.9,0,0,1.3,25.4
0,Berlin,2025-01-01T15:00,6.7,0,0,1,26
0,Berlin,2025-01-01T16:00,6.4,0,0,0.6,26.4
0,Berlin,2025-01-01T17:00,5.9,0,0,0.2,25.7
0,Berlin,2025-01-01T18:00,5.6,0,0,0.3,23.4
0,Berlin,2025-01-01T19:00,5.8,0,0,0.4,23.6
0,Berlin,2025-01-01T20:00,6.1,0,0,0.6,24.6
0,Berlin,2025-01-01T21:00,6.4,0,0,0.8,25.8
0,Berlin,2025-01-01T22:00,6.4,0,0,0.8,25.8
0,Berlin,2025-01-01T23:00,6.1,0,0,0.6,25.6
0,Berlin,2025-01-02T00:00,6.1,0,0,0.7,26.1
0,Berlin,2025-01-02T01:00,6.7,0,0,2,22.3
0,Berlin,2025-01-02T02:00,6.7,0,0,2.2,22
0,Berlin,2025-01-02T03:00,6.2,0,0,2.1,19.6
0,Berlin,2025-01-02T04:00,6,0,0,1.5,22.6
0,Berlin,2025-01-02T05:00,5.6,0,0,0.5,25.6
0,Berlin,2025-01-02T06:00,5.1,0,0,0,25.3
0,Berlin,2025-01-02T07:00,4.4,0,0,-0.3,19.9
0,Berlin,2025-01-02T08:00,3.8,0,0,-0.8,17.8
0,Berlin,2025-01-02T09:00,3.7,0,0,-0.8,15.9
0,Berlin,2025-01-02T10:00,3.8,0,0,-0.3,13.1
0,Berlin,2025-01-02T11:00,4.4,0,0,0.3,13.9
0,Berlin,2025-01-02T12:00,4.8,0,0,0.3,16.2
0,Berlin,2025-01-02T13:00,4.6,0,0,0.6,13.7
0,Berlin,2025-01-02T14:00,4,0,0,-0.1,14.7
0,Berlin,2025-01-02T15:00,3.2,0,0,-0.6,11.9
0,Berlin,2025-01-02T16:00,2.7,0,0,-1.2,12.1
0,Berlin,2025-01-02T17:00,2.3,0,0,-1.7,13.1
0,Berlin,2025-01-02T18:00,1.7,0,0,-2.4,13.3
0,Berlin,2025-01-02T19:00,1.4,0,0,-2.8,14.1
0,Berlin,2025-01-02T20:00,1.4,0,0,-2.9,15.2
0,Berlin,2025-01-02T21:00,1.1,0,0,-3.2,15.2
0,Berlin,2025-01-02T22:00,0.9,0,0,-3.5,15.8
0,Berlin,2025-01-02T23:00,0.9,0,0,-3.6,15.9
